Sample	s_name	totalpairs	discardpairs	percdiscard	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913312_1	ERR6913312_1	500566	0	0.0	431764	572	68230	86.37
ERR6913314_1	ERR6913314_1	1074103	0	0.0	719626	714	353763	67.06
ERR6913315_1	ERR6913315_1	373451	0	0.0	295766	460	77225	79.32
ERR6913316_1	ERR6913316_1	433021	0	0.0	406930	269	25822	94.04
ERR6913341_1	ERR6913341_1	1138285	0	0.0	961471	1584	175230	84.61
ERR6913343_1	ERR6913343_1	1739316	0	0.0	1488455	1377	249484	85.66
ERR6913344_1	ERR6913344_1	1190318	0	0.0	1003544	1802	184972	84.46
ERR6913345_1	ERR6913345_1	1375197	0	0.0	1261845	2038	111314	91.91
